Symbol,Close,DD_High,4H_MACD,Day_MACD,Week_MACD,Month_MACD,Day_RSI,Week_RSI,Month_RSI
ZTECH,626.9,-14.26,11,11,1,-2,71.22,60.65,72.64
MRPL,146.66,-49.3,6,-25,-1,-15,38.07,49.91,51.92
MACPOWER,1025.35,-40.97,3,-6,7,-11,60.78,59.06,53.08
GHCL,571.35,-26.66,3,-7,-3,-9,42.33,44.06,46.71
MCLEODRUSS,44.44,-35.1,1,-36,-3,25,35.36,48.11,53.61
KPITTECH,1230.2,-36.22,4,-10,7,-15,53.9,50.2,50.95
JAYNECOIND,77.67,-4.35,21,9,-4,5,60.9,66.06,68.01
LUMAXTECH,1574.7,-2.8,4,-12,6,8,61.57,69.49,79.25
GRAVITA,1845.1,-31.66,2,-4,9,-9,58.81,55.54,60.05
GREAVESCOT,188.88,-40.88,16,2,-7,-5,46.46,43.72,50.7
IONEXCHANG,371.6,-51.64,-5,11,2,-12,52.7,37.22,37.96
MTARTECH,2434.1,-16.65,14,-23,16,4,53.04,64.21,66.14
GPIL,258.95,-66.15,33,8,-5,7,61.5,57.14,53.18
ANANDRATHI,3030.5,-8.76,19,9,-7,5,59.25,64.96,76.07
GANECOS,863.55,-65.24,-4,18,-20,-10,35.14,27.11,36.97
VIPIND,365.6,-49.98,21,9,-13,6,49.06,42.03,42.92
BOSCHLTD,36305.0,-13.45,1,1,-12,-1,45.14,48.65,60.15
V2RETAIL,2390.0,-6.79,14,1,-2,31,58.93,61.17,76.85
CARTRADE,2792.9,-15.12,13,-24,-3,30,47.43,59.29,77.13
TMB,513.4,-16.02,1,-12,11,3,54.17,64.74,59.21
CEATLTD,3903.2,-12.05,6,2,11,9,53.22,58.41,61.91
TINNARUBR,807.7,-25.82,16,8,-5,-6,42.7,35.68,54.32
WABAG,1293.6,-33.46,11,1,-14,-9,40.5,39.43,52.14
CSBBANK,412.7,-7.67,16,2,-4,7,57.68,56.74,63.41
TI,469.05,-14.67,20,3,-7,6,53.63,54.84,62.42
DCMSHRIRAM,1249.4,-16.83,2,2,-17,7,53.52,53.11,54.6
NACLIND,169.57,-50.05,2,1,-17,12,47.31,43.15,53.88
THYROCARE,457.25,-14.8,18,1,-4,9,52.32,56.41,62.55
TEGA,1995.5,-14.32,16,7,-11,4,65.71,61.02,66.64
ETERNAL,284.35,-22.83,3,8,-9,-1,37.77,44.52,59.51
SANGHVIMOV,365.25,-51.14,16,6,-5,1,64.63,56.1,53.08
FEDERALBNK,265.45,-2.08,-1,-13,11,3,66.65,78.78,73.21
RECLTD,354.2,-45.84,6,2,-3,-13,54.02,41.48,46.09
KEC,743.15,-43.41,18,15,-9,-11,57.67,44.04,46.46
FORCEMOT,18453.0,-16.08,14,3,-14,8,63.54,59.68,76.09
FORTIS,901.6,-18.36,14,6,-7,31,48.18,50.42,69.35
PYRAMID,163.85,-36.74,-10,-5,6,-10,50.75,49.38,52.36
FOSECOIND,4986.0,-27.17,-11,1,-12,6,38.16,44.79,56.74
POCL,1387.8,-7.85,7,4,-5,6,60.07,62.83,72.43
EICHERMOT,7303.0,-0.48,4,2,-2,32,61.17,69.54,80.01
RADICO,3267.3,-9.04,5,1,-3,36,55.23,65.7,80.5
